,model_name,arch_dims,arch_interconnections,dfg_name,test_mode,mapping_is_valid,routing_penalty,unsuccessful_reason,mapping_time,mean_visited_rate,mean_num_visited_nodes,mean_mean_expanded_nodes,mean_max_tree_depths,num_simulations,used_PEs,num_backtrackings
73,smartmap,"(4, 4)",ONE_HOP,cholesky_unroll,ZERO_SHOT,False,-1.15,Invalid timing.,6.524315595626831,0.6672780360391809,93.83333333333331,1.772097577162885,5.583333333333333,150,13,1
74,smartmap,"(4, 4)",ONE_HOP,V_6_E_5,ZERO_SHOT,True,-0.0599999986588954,,0.7256278991699219,0.2798683058514519,103.5,3.616780983916745,4.5,150,6,0
75,smartmap,"(4, 4)",ONE_HOP,symm,ZERO_SHOT,True,-0.1699999977648258,,4.658875226974487,0.410963494459674,148.5,2.616254233860776,8.0,150,16,0
76,smartmap,"(4, 4)",ONE_HOP,atax,ZERO_SHOT,True,-0.1399999977648258,,3.959729194641113,0.3905254469032578,145.16666666666666,2.7604261769142955,7.666666666666667,150,13,0
77,smartmap,"(4, 4)",ONE_HOP,gemm,ZERO_SHOT,True,-0.159999997317791,,3.482398271560669,0.3446476653070657,139.83333333333334,2.9877404604225792,7.833333333333333,150,15,0
78,smartmap,"(4, 4)",ONE_HOP,cholesky,ZERO_SHOT,True,-0.0599999986588954,,0.3887033462524414,0.320057269295848,113.0,3.2469757174392937,6.0,150,6,0
79,smartmap,"(4, 4)",ONE_HOP,syrk,ZERO_SHOT,True,-0.1499999973177909,,2.9386887550354004,0.358385955221801,143.8,2.920126691621077,7.6,150,14,0
80,smartmap,"(4, 4)",ONE_HOP,V_5_E_4,ZERO_SHOT,True,-0.0399999991059303,,0.0265474319458007,0.2105263157894736,12.0,4.666666666666667,5.0,150,5,0
81,smartmap,"(4, 4)",ONE_HOP,V_12_E_12,ZERO_SHOT,True,-0.1199999979883432,,2.922304391860962,0.3114751271824234,144.6,3.266347598642106,6.8,150,12,0
82,smartmap,"(4, 4)",ONE_HOP,balanced-pre,ZERO_SHOT,False,-1.12,Invalid timing.,6.02390456199646,0.6642243000469003,93.36363636363636,1.9440736870180928,5.363636363636363,150,12,1
83,smartmap,"(4, 4)",ONE_HOP,V_13_E_14,ZERO_SHOT,True,-0.139999997317791,,2.0672097206115723,0.3662736442768503,145.0,2.8493021728422088,8.0,150,13,0
84,smartmap,"(4, 4)",ONE_HOP,balanced-sum,ZERO_SHOT,True,-0.0599999986588954,,0.9606361389160156,0.2551478397916881,132.0,3.920236769618473,5.5,150,7,0
85,smartmap,"(4, 4)",ONE_HOP,V_15_E_15,ZERO_SHOT,True,-0.1499999982118606,,4.53148889541626,0.4296159636429795,137.5,2.500018322327328,8.25,150,15,0
86,smartmap,"(4, 4)",ONE_HOP,mvt,ZERO_SHOT,False,-1.15,Invalid Routing.,8.011881113052368,0.6474309718800032,100.07142857142856,1.876022510113945,6.0,150,15,1
87,smartmap,"(4, 4)",ONE_HOP,V_10_E_9,ZERO_SHOT,True,-0.0899999979883432,,1.1530911922454834,0.2912852812196486,113.5,3.439743813175322,8.0,150,10,0
88,mapzero,"(4, 4)",MESH,V_14_E_14,ZERO_SHOT,False,-1.11,At least one node was not mapped.,3.068138360977173,0.4873724046653983,13.2,2.797450980392157,4.2,200,16,1
89,mapzero,"(4, 4)",MESH,V_8_E_9,ZERO_SHOT,False,-2.12,At least one node was not mapped.,3.391995668411255,0.3927962252358319,12.0,2.9282034050179213,3.8333333333333335,200,16,4
90,mapzero,"(4, 4)",MESH,V_16_E_19,ZERO_SHOT,False,-2.12,At least one node was not mapped.,3.7010791301727295,0.516704625178382,14.375,2.4064020874178293,4.666666666666667,200,16,1
91,mapzero,"(4, 4)",MESH,V_9_E_10,ZERO_SHOT,False,-4.1,At least one node was not mapped.,3.875636577606201,0.4429945054945055,9.714285714285714,2.9937728937728942,3.7142857142857135,200,16,11
92,mapzero,"(4, 4)",MESH,V_11_E_11,ZERO_SHOT,False,-1.15,At least one node was not mapped.,3.9828906059265137,0.5477794450850977,35.25,2.009515240204609,5.0,200,16,1
93,mapzero,"(4, 4)",MESH,doitgen,ZERO_SHOT,False,-1.12,At least one node was not mapped.,4.0260937213897705,0.583159837361518,11.285714285714286,2.0535525321239607,3.857142857142857,200,16,3
94,mapzero,"(4, 4)",MESH,V_7_E_7,ZERO_SHOT,False,-3.12,At least one node was not mapped.,3.291081666946411,0.4170535831214229,11.285714285714286,2.856862745098039,3.5,200,16,4
95,mapzero,"(4, 4)",MESH,cholesky_unroll,ZERO_SHOT,False,-2.12,At least one node was not mapped.,3.448659420013428,0.5573184791934792,17.0,1.9309116809116809,4.166666666666667,200,16,2
96,mapzero,"(4, 4)",MESH,V_6_E_5,ZERO_SHOT,False,-1.14,Invalid timing.,3.3406424522399902,0.2071428571428571,24.0,4.777777777777779,3.5,200,16,1
97,mapzero,"(4, 4)",MESH,symm,ZERO_SHOT,False,-1.12,At least one node was not mapped.,4.037421703338623,0.4661183238382827,12.333333333333334,2.6630434782608696,4.285714285714286,200,16,3
98,mapzero,"(4, 4)",MESH,atax,ZERO_SHOT,False,-1.1,At least one node was not mapped.,3.3968656063079834,0.6231239701984382,11.5,2.1960038986354777,4.0,200,16,1
99,mapzero,"(4, 4)",MESH,gemm,ZERO_SHOT,False,-1.12,At least one node was not mapped.,3.3523313999176025,0.5871071408740075,11.166666666666666,2.175420168067227,4.166666666666667,200,16,2
100,mapzero,"(4, 4)",MESH,cholesky,ZERO_SHOT,False,-1.14,Invalid timing.,3.172028064727783,0.4999582808406337,12.166666666666666,2.753205128205128,3.5,200,16,1
101,mapzero,"(4, 4)",MESH,syrk,ZERO_SHOT,False,-1.12,At least one node was not mapped.,4.577321529388428,0.5595440301132213,16.625,2.025068546807677,4.5,200,16,1
102,mapzero,"(4, 4)",MESH,V_5_E_4,ZERO_SHOT,True,-0.1199999991804361,,0.0262863636016845,0.1098901098901098,10.0,9.0,5.0,200,15,0
103,mapzero,"(4, 4)",MESH,V_12_E_12,ZERO_SHOT,False,-3.12,At least one node was not mapped.,3.967353820800781,0.5403324339573344,13.857142857142858,2.3304722304722305,4.0,200,16,4
104,mapzero,"(4, 4)",MESH,balanced-pre,ZERO_SHOT,False,-4.1,Invalid Routing.,6.600529670715332,0.412596933150727,49.42857142857143,2.8044787114185667,5.0,200,16,13
105,mapzero,"(4, 4)",MESH,V_13_E_14,ZERO_SHOT,False,-3.1100000000000003,At least one node was not mapped.,4.096407890319824,0.5020118002612207,9.285714285714286,2.4056390977443614,3.7142857142857135,200,16,4
106,mapzero,"(4, 4)",MESH,balanced-sum,ZERO_SHOT,False,-3.0700000000000003,Invalid Routing.,4.046722412109375,0.1963396792825657,50.0,5.205299145299146,4.0,200,10,15
107,mapzero,"(4, 4)",MESH,V_15_E_15,ZERO_SHOT,False,-1.13,At least one node was not mapped.,3.4632625579833984,0.4966197464310671,15.666666666666666,2.366298452505349,5.0,200,16,1
108,mapzero,"(4, 4)",MESH,mvt,ZERO_SHOT,False,-1.13,At least one node was not mapped.,3.5491628646850586,0.5798796250505777,10.833333333333334,2.25479797979798,3.6666666666666665,200,16,2
109,mapzero,"(4, 4)",MESH,V_10_E_9,ZERO_SHOT,False,-4.1,At least one node was not mapped.,4.578266620635986,0.6253052048844252,24.5,1.6947083404400478,4.625,200,16,9
110,smartmap,"(4, 4)",MESH,V_14_E_14,ZERO_SHOT,False,-2.12,At least one node was not mapped.,7.534070730209351,0.8712338378908088,73.61538461538461,1.1048256839670791,6.6923076923076925,200,13,1
111,smartmap,"(4, 4)",MESH,V_8_E_9,ZERO_SHOT,True,-0.0899999982118606,,1.311516284942627,0.5499281609195402,127.5,1.892482034273079,7.0,200,8,0
